Park Name,County,Park Identifier,Park Address,city,zipcode,phone number,Fire Authority,Jurisdiction,MH Spaces,RV Lots W/Drains,RV Lots W/O Drains,Operated by
ALLGEYER PARK,LOS ANGELES,19-0005-MP,"2920 ALLGEYER,  EL MONTE , 91733", EL MONTE,91733, (310) 676-0663,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",21,0,0,"FRANK, DORIS, 2239 PARKWAY DR #7, EL MONTE, CA 91733"
GUILLEN TP,LOS ANGELES,19-0025-MP,"1240 NADEAU ST,  LOS ANGELES , 90001", LOS ANGELES,90001, (213) 585-8828,"HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",15,0,0,"GUILLEN, JOSE, C/O GUILLEN TRAILER PARK 1240 NADEAU ST, LOS ANGELES, CA 90001"
AVALON TP,LOS ANGELES,19-0047-MP,"1832 N DURFEE,  S EL MONTE , 91733", S EL MONTE,91733, (805) 944-5916,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",20,0,0,"GRIEGORIAN, L, 3855 LEMON AVE E140, WALNUT, CA 91789"
RES MOR TP,LOS ANGELES,19-0056-MP,"13651 GARVEY AVE,  BALDWIN PARK , 91706", BALDWIN PARK,91706, (310) 920-8148,"null, null","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",16,0,0,"LEE WAYNE & CO, 15865B GALE AVE SUITE # 428, CITY OF INDUSTRY, CA 91745"
BLUE BIRD TP,LOS ANGELES,19-0067-MP,"8827 E ARTESIA BLVD,  BELLFLOWER , 90706", BELLFLOWER,90706, (310) 633-2955,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",11,0,3,"BOGGS, VIRGINIA, PO BOX 787, BELLFLOWER, CA 90706"
BLUE BONNET TP,LOS ANGELES,19-0068-MP,"4432 MANHATTAN BEACH BLVD,  LAWNDALE , 90260", LAWNDALE,90260, (310) 545-7498,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",11,0,0,"LAWNDALE REDEVELOPMENT AGENCY, 14717 BURIN AVE, LAWNDALE, CA 90260"
VAGABOND HAVEN TP,LOS ANGELES,19-0104-MP,"3005 BIG DALTON,  BALDWIN PARK , 91706", BALDWIN PARK,91706, (818) 284-0958,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",20,0,0,"DEGREVE, MAURICE, MARIE DEGREVE 1828 S VEGA ST, ALHAMBRA, CA 91801"
HOLIDAY TRAILER,LOS ANGELES,19-0114-MP,"11013 PRAIRIE,  INGLEWOOD , 90305", INGLEWOOD,90305, (310) 671-8405,"null, null","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",,,,
CLARA TRAILER CT,LOS ANGELES,19-0119-MP,"5614 CLARA AVE,  BELL GARDENS , 90201", BELL GARDENS,90201, (213) 722-1061,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",19,0,0,"VARTANIAN, SOOKIE, 620 N 19TH ST, MONTEBELLO, CA 90640"
ASHLEYS TP,LOS ANGELES,19-0155-MP,"4309 CARLIN AVE,  LYNWOOD , 90262", LYNWOOD,90262, (805) 944-3434,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","LYNWOOD BUILDING DEPARTMENT, MOBILEHOME PARKS PROGRAM, 11330 BULLIS ROAD, LYNWOOD, CA 90262",22,0,0,"CARLIN AVENUE VILLAGE, LLC, 3300 IRVINE AVENUE, NEWPORT BEACH, CA 92660"
MOCHEL TP,LOS ANGELES,19-0156-MP,"44647 1/2 SIERRA HWY ,  LANCASTER , 93534", LANCASTER,93534, (805) 944-3434,"null, null","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",18,0,0,"MOCHEL FAMILY TRUST, 45508 KINGTREE, LANCASTER, CA 93534"
DREAMLAND AUTO CT\TP,LOS ANGELES,19-0175-MP,"14353 E GARVEY AVE,  BALDWIN PARK , 91706", BALDWIN PARK,91706, (818) 858-9044,"HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",12,0,0,"SONI, JASPAL, 16138 ELZA DR, HACIENDA HEIGHTS, CA 91745"
DUARTE TRAILER CT,LOS ANGELES,19-0177-MP,"1437 E HUNTINGTON DR,  DUARTE , 91008", DUARTE,91008, (818) 858-9044,"null, null","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",28,0,0,"OATMAN, MICHELLE, 6537 COUNTRY CLUB DR, LA VERNE, CA 91750"
CENTURY TRAILER PARK,LOS ANGELES,19-0186-MP,"3930 W CENTURY BLVD,  INGLEWOOD , 90304", INGLEWOOD,90304, (310) 673-5093,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",24,0,0,"CITY OF INGLEWOOD, ONE MANCHESTER BLVD, INGLEWOOD, CA 90301"
FRIENDLY TP,LOS ANGELES,19-0233-MP,"1226 W IMPERIAL HWY,  LOS ANGELES , 90044", LOS ANGELES,90044, (310) 547-1374,"HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",40,0,0,"PUENTE, PATRICIA, PO BOX 2656, SAN PEDRO, CA 90731"
GARVEY TRAILER CT,LOS ANGELES,19-0245-MP,"8353 E GARVEY,  ROSEMEAD , 91770", ROSEMEAD,91770,,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",6,0,0,"WANG, JAMES, 8399 E GARVEY AVE, ROSEMEAD, CA 91770"
GREELEY MOBILE LODGE,LOS ANGELES,19-0265-MP,"8111 E GARVEY,  ROSEMEAD , 91770", ROSEMEAD,91770,,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",20,12,0,"CB & A INVESTMENTS, LLC, 227 W VALLEY BLVD #308, SAN GABRIEL, CA 91776"
WESTERN MOBILE GARDENS,LOS ANGELES,19-0273-MP,"1737 W HOLT AVE.,  POMONA , 91768", POMONA,91768, (818) 344-0356,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",41,0,0,"SHIELD OF FAITH ECONOMIC DEVELOPMENT, P. O. BOX 17930, ENCINO, CA 91416"
HARMONY LANE TRAILER CT,LOS ANGELES,19-0279-MP,"7533 E GARVEY,  ROSEMEAD , 91770", ROSEMEAD,91770,,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",33,0,0,"YOUNG, C, 543 PROSPECT ST., SAN CARLOS, CA 94070"
HOVER TP,LOS ANGELES,19-0306-MP,"319 S HINDRY AVE,  INGLEWOOD , 90301", INGLEWOOD,90301, (310) 671-2393,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",29,0,0,
HUB TRAILER CT,LOS ANGELES,19-0307-MP,"11714 GARVEY AVE,  EL MONTE , 91733", EL MONTE,91733, (999) 444-1962,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",18,0,0,"YEN, CHIA, 2345 W 232ND ST, TORRANCE, CA 90501"
IDEAL TRAILER CT,LOS ANGELES,19-0312-MP,"431 S FERRIS AVE,  LOS ANGELES , 90022", LOS ANGELES,90022, (818) 280-3480,"HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",2,0,13,"VALENZUELA, ROSALINA, 440 VIA VICENTE, NIPOMO, CA 93444"
IMPERIAL TP,LOS ANGELES,19-0316-MP,"3670 W IMPERIAL HWY,  HAWTHORNE , 90250", HAWTHORNE,90250, (818) 280-3480,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",58,0,0,"MENLO, SAM, 4221 WILSHIRE BLVD SUITE # 210, LOS ANGELES, CA 90010"
LA TP,LOS ANGELES,19-0379-MP,"2121 27 E NADEAU ST,  LOS ANGELES , 90001", LOS ANGELES,90001, (213) 581-7124,"HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",1,0,29,"JACOBS, LILLIAN, 7831 SOUTH ALAMEDA, LOS ANGELES, CA 90001"
SIMS TP,LOS ANGELES,19-0382-MP,"6305 HOLMES AVE,  LOS ANGELES , 90001", LOS ANGELES,90001, (999) 732-2147,"HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",14,0,1,"P & J GLASS INC, C/O JIMMIE RUSSELL 2476 OVERLAND AVE SUITE 203, LOS ANGELES, CA 90064"
MACKS TRAILER LODGE,LOS ANGELES,19-0390-MP,"17524 S FIGUEROA ST,  CARSON , 90745", CARSON,90745, (213) 323-2312,"null, null","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",47,0,0,"BUCKLES, ROBERT, 1483 ALLENFORD AVE, LOS ANGELES, CA 90049"
CHICO AVE TRAILER CT,LOS ANGELES,19-0406-MP,"2702 CHICO AVE,  S EL MONTE , 91733", S EL MONTE,91733, (310) 866-4004,"null, null","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",25,0,0,"KAM LEWIS & HUEY, 8624 FAIRMONT WY, FAIR OAKS, CA 95628"
MOUNTAIN VIEW MOBILE INN,LOS ANGELES,19-0448-MP,"1930 STEWART ST,  SANTA MONICA , 90404", SANTA MONICA,90404, (310) 828-7178,"HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501","SANTA MONICA BUILDING DEPARTMENT, MOBILEHOME PARKS PROGRAM, 1685 MAIN STREET RM 111, SANTA MONICA, CA 90401",141,0,0,"CARITAS ACQUISITIONS IV LLC, 3 PARK PLAZA # 1700, IRVINE, CA 92614"
AMERICAN ADVENTURES FOREST LAKES RESORT,LOS ANGELES,19-0449-MP,"17000 ELIZABETH LAKE RD,  LAKE HUGHES , 93532", LAKE HUGHES,93532, (805) 724-1412,"null, null","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",0,4,252,"AMERICAN ADVENTURES, 101 INVERNESS DR EAST SUITE # 130, ENGLEWOOD, CO 80112"
CRYSTAL POOL MHP,LOS ANGELES,19-0470-MP,"1722 E HUNTINGTON DR,  DUARTE , 91010", DUARTE,91010, (818) 359-1302,"null, null","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",35,0,0,"HFC CONSULTING & MANAGEMENT, PO BOX 1163, SIERRA MADRE, CA 91024"
RAINBOW TP,LOS ANGELES,19-0550-MP,"31413 CASTAIC RD,  CASTAIC , 91384", CASTAIC,91384, (805) 296-2021,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",10,0,0,"COWAN FAMILY GRANTOR RETAINED INCOME TRUST, 10326 TENNESSEE AVE, LOS ANGELES, CA 90064"
VILLA TRAILER PARK,LOS ANGELES,19-0553-MP,"3100 BASEBALL,  EL MONTE , 91731", EL MONTE,91731, (818) 444-2229,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",10,0,0,"TARIGHAT, BIJAN, "
ROSE ACRES TP,LOS ANGELES,19-0588-MP,"9872 E RUSH ST,  S EL MONTE , 91733", S EL MONTE,91733, (818) 575-9244,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",31,0,0,"JABO INVESTMENT CO INC, PO BOX 3707, SAN JUAN CAPISTRANO, CA 92690"
ROSELAND TRAILER CT,LOS ANGELES,19-0592-MP,"7443 E GARVEY AVE,  ROSEMEAD , 91770", ROSEMEAD,91770, (626) 625-9935,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",19,0,0,"HAWAII PROPERTY INC, 120 E. VALLEY BLVD, SAN GABRIEL, CA 91776"
MYRTLE PARK,LOS ANGELES,19-0604-MP,"1233 S MYRTLE AVE,  INGLEWOOD , 90301", INGLEWOOD,90301, (213) 732-4200,"null, null","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",4,0,0,"LANDMARK WEST, 3712 W JEFFERSON BLVD, LOS ANGELES, CA 90016"
SHADY NOOK TP,LOS ANGELES,19-0635-MP,"21009 PROSPECT AVE,  CARSON , 90810", CARSON,90810, (818) 442-0383,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",6,0,0,"CARLSEN, KENT, PO BOX 8321, LONG BEACH, CA 90808"
FOLLOW CAMP WEST,LOS ANGELES,19-0637-MP,"23100 E FORK RD,  AZUSA , 91702", AZUSA,91702, (818) 910-1100,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",2,56,80,"FLOCHAL INC, "
TRAIL IN TP,LOS ANGELES,19-0700-MP,"14711 GARFIELD,  PARAMOUNT , 90723", PARAMOUNT,90723, (310) 630-8417,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",6,0,0,"NEUMANN, HILDE, 4561 MAROON DR, LA PALMA, CA 90623"
