,Park Name,County,Park Identifier,Park Address,city,zipcode,phone number,Fire Authority,Jurisdiction,MH Spaces,RV Lots W/Drains,RV Lots W/O Drains,Operated by,lat,lon,geometry
0,ALLGEYER PARK,LOS ANGELES,19-0005-MP,"2920 ALLGEYER,  EL MONTE , 91733", EL MONTE,91733, (310) 676-0663,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",21.0,0.0,0.0,"FRANK, DORIS, 2239 PARKWAY DR #7, EL MONTE, CA 91733",34.059779932025556,-118.01855878821141,POINT (-13137765.86845971 4036831.837741384)
1,GUILLEN TP,LOS ANGELES,19-0025-MP,"1240 NADEAU ST,  LOS ANGELES , 90001", LOS ANGELES,90001, (213) 585-8828,"HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",15.0,0.0,0.0,"GUILLEN, JOSE, C/O GUILLEN TRAILER PARK 1240 NADEAU ST, LOS ANGELES, CA 90001",33.96738508333333,-118.25382472222223,POINT (-13163955.55243481 4024423.479973389)
3,RES MOR TP,LOS ANGELES,19-0056-MP,"13651 GARVEY AVE,  BALDWIN PARK , 91706", BALDWIN PARK,91706, (310) 920-8148,"null, null","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",16.0,0.0,0.0,"LEE WAYNE & CO, 15865B GALE AVE SUITE # 428, CITY OF INDUSTRY, CA 91745",34.0696743,-117.9714673,POINT (-13132523.66797132 4038161.423605984)
4,BLUE BIRD TP,LOS ANGELES,19-0067-MP,"8827 E ARTESIA BLVD,  BELLFLOWER , 90706", BELLFLOWER,90706, (310) 633-2955,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",11.0,0.0,3.0,"BOGGS, VIRGINIA, PO BOX 787, BELLFLOWER, CA 90706",33.8746614,-118.1514418,POINT (-13152558.3376671 4011984.505417046)
5,BLUE BONNET TP,LOS ANGELES,19-0068-MP,"4432 MANHATTAN BEACH BLVD,  LAWNDALE , 90260", LAWNDALE,90260, (310) 545-7498,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",11.0,0.0,0.0,"LAWNDALE REDEVELOPMENT AGENCY, 14717 BURIN AVE, LAWNDALE, CA 90260",33.88724724,-118.35342444,POINT (-13175042.94230098 4013672.114775621)
6,VAGABOND HAVEN TP,LOS ANGELES,19-0104-MP,"3005 BIG DALTON,  BALDWIN PARK , 91706", BALDWIN PARK,91706, (818) 284-0958,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",20.0,0.0,0.0,"DEGREVE, MAURICE, MARIE DEGREVE 1828 S VEGA ST, ALHAMBRA, CA 91801",34.069944500000005,-117.9665395,POINT (-13131975.10778459 4038197.734732701)
7,HOLIDAY TRAILER,LOS ANGELES,19-0114-MP,"11013 PRAIRIE,  INGLEWOOD , 90305", INGLEWOOD,90305, (310) 671-8405,"null, null","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",,,,,33.9354756,-118.3439986,POINT (-13173993.66259188 4020141.262826878)
9,ASHLEYS TP,LOS ANGELES,19-0155-MP,"4309 CARLIN AVE,  LYNWOOD , 90262", LYNWOOD,90262, (805) 944-3434,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","LYNWOOD BUILDING DEPARTMENT, MOBILEHOME PARKS PROGRAM, 11330 BULLIS ROAD, LYNWOOD, CA 90262",22.0,0.0,0.0,"CARLIN AVENUE VILLAGE, LLC, 3300 IRVINE AVENUE, NEWPORT BEACH, CA 92660",33.91108006122449,-118.19410071428572,POINT (-13157307.10628318 4016868.491002954)
12,DUARTE TRAILER CT,LOS ANGELES,19-0177-MP,"1437 E HUNTINGTON DR,  DUARTE , 91008", DUARTE,91008, (818) 858-9044,"null, null","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",28.0,0.0,0.0,"OATMAN, MICHELLE, 6537 COUNTRY CLUB DR, LA VERNE, CA 91750",34.13977220408163,-117.97493718367348,POINT (-13132909.93365497 4047585.494743803)
13,CENTURY TRAILER PARK,LOS ANGELES,19-0186-MP,"3930 W CENTURY BLVD,  INGLEWOOD , 90304", INGLEWOOD,90304, (310) 673-5093,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",24.0,0.0,0.0,"CITY OF INGLEWOOD, ONE MANCHESTER BLVD, INGLEWOOD, CA 90301",33.9453644,-118.3614415,POINT (-13175935.39733784 4021468.157099917)
17,WESTERN MOBILE GARDENS,LOS ANGELES,19-0273-MP,"1737 W HOLT AVE.,  POMONA , 91768", POMONA,91768, (818) 344-0356,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",41.0,0.0,0.0,"SHIELD OF FAITH ECONOMIC DEVELOPMENT, P. O. BOX 17930, ENCINO, CA 91416",34.061721020408164,-117.77999563265305,POINT (-13111209.13946092 4037092.665170926)
19,HOVER TP,LOS ANGELES,19-0306-MP,"319 S HINDRY AVE,  INGLEWOOD , 90301", INGLEWOOD,90301, (310) 671-2393,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",29.0,0.0,0.0,,33.959053,-118.373654,POINT (-13177294.88661915 4023305.168749102)
20,HUB TRAILER CT,LOS ANGELES,19-0307-MP,"11714 GARVEY AVE,  EL MONTE , 91733", EL MONTE,91733, (999) 444-1962,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",18.0,0.0,0.0,"YEN, CHIA, 2345 W 232ND ST, TORRANCE, CA 90501",34.0626791,-118.0469287,POINT (-13140923.99259387 4037221.406197773)
21,IDEAL TRAILER CT,LOS ANGELES,19-0312-MP,"431 S FERRIS AVE,  LOS ANGELES , 90022", LOS ANGELES,90022, (818) 280-3480,"HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",2.0,0.0,13.0,"VALENZUELA, ROSALINA, 440 VIA VICENTE, NIPOMO, CA 93444",34.02997069473306,-118.16093214358068,POINT (-13153614.79788195 4032827.068484266)
24,SIMS TP,LOS ANGELES,19-0382-MP,"6305 HOLMES AVE,  LOS ANGELES , 90001", LOS ANGELES,90001, (999) 732-2147,"HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",14.0,0.0,1.0,"P & J GLASS INC, C/O JIMMIE RUSSELL 2476 OVERLAND AVE SUITE 203, LOS ANGELES, CA 90064",33.9827664518215,-118.24128140841283,POINT (-13162559.23712868 4026488.216337495)
25,MACKS TRAILER LODGE,LOS ANGELES,19-0390-MP,"17524 S FIGUEROA ST,  CARSON , 90745", CARSON,90745, (213) 323-2312,"null, null","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",47.0,0.0,0.0,"BUCKLES, ROBERT, 1483 ALLENFORD AVE, LOS ANGELES, CA 90049",33.8454062,-118.2842446,POINT (-13167341.87773902 4008062.697145949)
