,Park Name,County,Park Identifier,Park Address,city,zipcode,phone number,Fire Authority,Jurisdiction,MH Spaces,RV Lots W/Drains,RV Lots W/O Drains,Operated by,lat,lon
2,AVALON TP,LOS ANGELES,19-0047-MP,"1832 N DURFEE,  S EL MONTE , 91733", S EL MONTE,91733, (805) 944-5916,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",20.0,0.0,0.0,"GRIEGORIAN, L, 3855 LEMON AVE E140, WALNUT, CA 91789",,
8,CLARA TRAILER CT,LOS ANGELES,19-0119-MP,"5614 CLARA AVE,  BELL GARDENS , 90201", BELL GARDENS,90201, (213) 722-1061,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",19.0,0.0,0.0,"VARTANIAN, SOOKIE, 620 N 19TH ST, MONTEBELLO, CA 90640",,
10,MOCHEL TP,LOS ANGELES,19-0156-MP,"44647 1/2 SIERRA HWY ,  LANCASTER , 93534", LANCASTER,93534, (805) 944-3434,"null, null","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",18.0,0.0,0.0,"MOCHEL FAMILY TRUST, 45508 KINGTREE, LANCASTER, CA 93534",,
11,DREAMLAND AUTO CT\TP,LOS ANGELES,19-0175-MP,"14353 E GARVEY AVE,  BALDWIN PARK , 91706", BALDWIN PARK,91706, (818) 858-9044,"HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",12.0,0.0,0.0,"SONI, JASPAL, 16138 ELZA DR, HACIENDA HEIGHTS, CA 91745",,
14,FRIENDLY TP,LOS ANGELES,19-0233-MP,"1226 W IMPERIAL HWY,  LOS ANGELES , 90044", LOS ANGELES,90044, (310) 547-1374,"HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",40.0,0.0,0.0,"PUENTE, PATRICIA, PO BOX 2656, SAN PEDRO, CA 90731",,
15,GARVEY TRAILER CT,LOS ANGELES,19-0245-MP,"8353 E GARVEY,  ROSEMEAD , 91770", ROSEMEAD,91770,,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",6.0,0.0,0.0,"WANG, JAMES, 8399 E GARVEY AVE, ROSEMEAD, CA 91770",,
16,GREELEY MOBILE LODGE,LOS ANGELES,19-0265-MP,"8111 E GARVEY,  ROSEMEAD , 91770", ROSEMEAD,91770,,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",20.0,12.0,0.0,"CB & A INVESTMENTS, LLC, 227 W VALLEY BLVD #308, SAN GABRIEL, CA 91776",,
18,HARMONY LANE TRAILER CT,LOS ANGELES,19-0279-MP,"7533 E GARVEY,  ROSEMEAD , 91770", ROSEMEAD,91770,,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",33.0,0.0,0.0,"YOUNG, C, 543 PROSPECT ST., SAN CARLOS, CA 94070",,
22,IMPERIAL TP,LOS ANGELES,19-0316-MP,"3670 W IMPERIAL HWY,  HAWTHORNE , 90250", HAWTHORNE,90250, (818) 280-3480,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",58.0,0.0,0.0,"MENLO, SAM, 4221 WILSHIRE BLVD SUITE # 210, LOS ANGELES, CA 90010",,
23,LA TP,LOS ANGELES,19-0379-MP,"2121 27 E NADEAU ST,  LOS ANGELES , 90001", LOS ANGELES,90001, (213) 581-7124,"HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",1.0,0.0,29.0,"JACOBS, LILLIAN, 7831 SOUTH ALAMEDA, LOS ANGELES, CA 90001",,
