Park Name,County,Park Identifier,Park Address,City,Zip,Phone,Fire Authority,Jurisdiction,MH Spaces,RV Lots W/Drains,RV Lots W/O Drains,Operated by
IMPERIAL TRAILER PARK,LOS ANGELES,13-0018-MP,"600 N IMPERIAL AVE,  HAWTHORNE,  CA 90250", HAWTHORNE,90250,,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","IMPERIAL COUNTY BUILDING DEPARTMENT, 801 MAIN STREET, EL CENTRO, CA 92243",8,0,0,"HOLCOM, BRADLEY, PO BOX 3162, SAN DIEGO, CA 92163"
CHETS TRAILER PARK,LOS ANGELES,19-0001-MP,"4630 W ROSECRANS AVE ,  LAWNDALE,  CA 90260", LAWNDALE,90260, (310) 676-0663,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",49,0,0,"DOSHI, NAVINCHANDRA, 6418 SPRING PARK AVE, LOS ANGELES, CA 90056"
A & A MOBILE HOME PARK,LOS ANGELES,19-0003-MP,"7722 ATLANTIC BLVD,  CUDAHY,  CA 90201", CUDAHY,90201, (310) 676-0663,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",21,0,0,"A & A MHP LLC, 26895 ALISO CREEK RD #B876, ALISO VIEJO, CA 92656"
ACE TRAILER PARK,LOS ANGELES,19-0006-MP,"6508 FLORENCE PL,  BELL GARDENS,  CA 90201", BELL GARDENS,90201, (213) 927-2868,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",8,0,0,"LUELLA PERDEW REVOCABLE TRUST, PO BOX 3259, WINNETKA, CA 91396"
ACORN TP,LOS ANGELES,19-0009-MP,"2818 DURFEE AVE,  EL MONTE,  CA 91732", EL MONTE,91732, (818) 350-5235,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",20,0,0,"PATTERSON, GLEN, PO BOX 1811, MYRTLE CREEK, OR 97457"
CACTUS CREEK,LOS ANGELES,19-0010-MP,"3740 SMITH ST,  ACTON,  CA 93510", ACTON,93510, (661) 618-1155,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",10,0,0,"PROPERTY REPAIR SERVICES, 915 WILSHIRE BLVD, #1700, LOS ANGELES, CA 90017"
SANTI TP,LOS ANGELES,19-0012-MP,"2730 N CHICO AVE,  S EL MONTE,  CA 91733", S EL MONTE,91733, (626) 222-2290,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",17,0,0,"SANTI, NORMA, 8241 E GRAVES AVE, ROSEMEAD, CA 91770"
IMPERIAL TRAILER VILLAGE,LOS ANGELES,19-0019-MP,"3905 W IMPERIAL HWY,  INGLEWOOD,  CA 90303", INGLEWOOD,90303, (310) 674-1419,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",17,0,0,"RARICA, LLC, PO BOX 1753, PACIFIC PALISADES, CA 90272"
ALONDRA TRAILER PARK,LOS ANGELES,19-0021-MP,"15012 LEMOLI AVE,  GARDENA,  CA 90249", GARDENA,90249, (310) 676-9764,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",23,0,0,"SALAZAR, ALFREDO, PO BOX 9023, SAN DIEGO, CA 92169"
AMBASSADOR DICKS MP,LOS ANGELES,19-0023-MP,"1422 E ROSECRANS,  COMPTON,  CA 90220", COMPTON,90220, (310) 676-9764,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",42,0,0,"PPS PC PARKS LLC, PO BOX 1687, BELLFLOWER, CA 90707"
HUGHES LAKESHORE PARK,LOS ANGELES,19-0036-MP,"43667 TR. K ELIZABETH LAKE,  LAKE HUGHES,  CA 93532", LAKE HUGHES,93532, (805) 724-1845,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",4,0,0,"FOSTER, LUE, PO BOX 280, LAKE HUGHES, CA 93532"
AZUSA MOBILE HOME PARK,LOS ANGELES,19-0039-MP,"812 N LOREN AVE,  AZUSA,  CA 91702", AZUSA,91702, (626) 334-2306,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",46,0,0,"KENDALL AZUSA COMMUNITIES LLC, 17300 RED HILL AVE SUITE 208, IRVINE, CA 92614"
CULVER CITY TERRACE,LOS ANGELES,19-0044-MP,"11250 PLAYA ST,  CULVER CITY,  CA 90230", CULVER CITY,90230, (213) 398-3761,"HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",117,0,0,"CULVER CITY MOBILEHOME OWNERS ASSOCIATION, C/O LES FRAME ENTERPRISES INC 1635 AVIATION BLVD, REDONDO BEACH, CA 90278"
ANTELOPE CENTER TRAILER PARK,LOS ANGELES,19-0046-MP,"8807 E PALMDALE BLVD,  PALMDALE,  CA 93550", PALMDALE,93550, (805) 944-5916,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",16,0,0,"SUN VILLAGE MHP LLC, 19197 GOLDEN VALLEY ROAD #322, SANTA CLARITA, CA 91387"
GRAD'S TRAILER PARK #3,LOS ANGELES,19-0050-MP,"4345 ROSECRANS AVE,  HAWTHORNE,  CA 90250", HAWTHORNE,90250, (310) 679-0229,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",14,0,0,"GRAD'S TRAILER PARK'S MARTIN GRAD & SHARON BRESSLER, 19661 GREENBRIAR DR, TARZANA, CA 91356"
BEL AIRE MH LODGE,LOS ANGELES,19-0051-MP,"2336 LEXINGTON AVE,  EL MONTE,  CA 91731", EL MONTE,91731, (310) 444-6411,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",34,0,0,"WONG ASSOCIATES, 444 S FLOWER ST, LOS ANGELES, CA 90071"
BELL OAKS TP,LOS ANGELES,19-0052-MP,"9258 EAST ARTESIA BLVD,  BELLFLOWER,  CA 90706", BELLFLOWER,90706, (310) 920-8148,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",28,0,0,"ASSAYAG, JACQUES, 816 CAMINO REAL # 204, REDONDO BEACH, CA 90277"
BELLFAIR TP,LOS ANGELES,19-0054-MP,"9023 E ROSE ST,  BELLFLOWER,  CA 90706", BELLFLOWER,90706, (310) 920-8148,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",50,0,0,"LANO, LEO, 11985 LAMBERT, TUSTIN, CA 92782"
A-1 TRAILER PARK,LOS ANGELES,19-0057-MP,"10026 E KLENGERMAN AVE,  S EL MONTE,  CA 91733", S EL MONTE,91733, (626) 548-9030,"COUNTY OF LOS ANGELES, 5823 RICKENBACKER RD., COMMERCE, CA 90040","HCD - SOUTHERN AREA OFFICE, 3737 MAIN ST 400, RIVERSIDE, CA 92501",2,7,1,"ALVAREZ, JESUS, 3336 SEAMAN AVE, EL MONTE, CA 91733"
