OBJECTID,ZONE_CMPLT,ZONE_CLASS,ZONE_SMRY,SHAPE_Length,SHAPE_Area
1,(F)CM-1-CUGU,CM,INDUSTRIAL,0.00137638907138163,1.13595498717984e-07
2,(F)CM-1-CUGU,CM,INDUSTRIAL,0.00137644840895354,1.13606344347395e-07
3,(F)CM-1-CUGU,CM,INDUSTRIAL,0.00110170116778767,5.68065143961031e-08
4,(F)CM-1-CUGU,CM,INDUSTRIAL,0.00110167236529719,5.68045526977771e-08
5,(F)CM-1-CUGU,CM,INDUSTRIAL,0.00137647107006636,1.1361502004281e-07
6,(F)CM-1-CUGU,CM,INDUSTRIAL,0.00137647607956839,1.13614180751323e-07
7,(F)CM-1-CUGU,CM,INDUSTRIAL,0.00158206000484027,1.36046311511788e-07
8,(F)CM-1-HPOZ,CM,INDUSTRIAL,0.00104997910576943,5.4304942418824e-08
9,(F)CM-1-HPOZ,CM,INDUSTRIAL,0.00220153313531498,2.71791315479656e-07
10,(F)CM-1-O-HPOZ,CM,INDUSTRIAL,0.00128722291164384,1.049222117927e-07
11,(F)R2-1-RIO,R2,RESIDENTIAL,0.0030836055222242,5.45294130614044e-07
12,(F)R2-1-RIO,R2,RESIDENTIAL,0.00280883229893486,3.6351109321208e-07
13,(F)R2-1-RIO,R2,RESIDENTIAL,0.00335837773091004,6.81632736400171e-07
14,(F)RE11-1,RE11,RESIDENTIAL,0.00219656570092508,2.03976985166643e-07
15,(F)RE11-1,RE11,RESIDENTIAL,0.00224035052367414,2.22338829480372e-07
16,(Q)A1-1VLD,A1,AGRICULTURE,0.00870747077915243,3.0424494164995e-06
17,(Q)A2-1,A2,AGRICULTURE,0.00749359142437502,2.91810021403452e-06
18,(Q)C1-1-RIO,C1,COMMERCIAL,0.000495091507948054,1.19176746626563e-08
19,(Q)C1-1,C1,COMMERCIAL,0.00102302935855168,5.67802501703006e-08
20,QC1-1VL-RIO,C1,COMMERCIAL,0.00107326721714603,7.15824437049656e-08
21,(Q)C1-1,C1,COMMERCIAL,0.00159391605426792,9.59056668007736e-08
22,C1-1-SN-CPIO,C1,COMMERCIAL,0.00597740822555123,1.51940111115605e-06
23,(Q)C1-1XL,C1,COMMERCIAL,0.00323831611053392,4.96328632655707e-07
24,(Q)C1-1-O-CA,C1,COMMERCIAL,0.000862576929325674,4.16429269630606e-08
25,(Q)C1-1L,C1,COMMERCIAL,0.00168020365125567,1.67826899878963e-07
26,(Q)C1-1L,C1,COMMERCIAL,0.00134013053472348,6.30884950841327e-08
27,(Q)C1-1VL,C1,COMMERCIAL,0.00164475174147756,1.69078740845629e-07
28,QC1-1VL,C1,COMMERCIAL,0.000882563085130005,4.45918200456314e-08
29,(Q)C1-1L,C1,COMMERCIAL,0.00131136680150115,8.91230316691489e-08
30,(Q)C1-1VL-RIO,C1,COMMERCIAL,0.00106639190260812,6.83857453303692e-08
31,(Q)C1-1VL,C1,COMMERCIAL,0.00105021185087532,5.32728358125278e-08
32,QC1-1VL-RIO,C1,COMMERCIAL,0.00220671802581218,2.02225380832228e-07
33,(Q)C1-1VL,C1,COMMERCIAL,0.00189532987071953,2.23171819624897e-07
34,(Q)C1-1VL,C1,COMMERCIAL,0.00187367999649853,1.96640592359232e-07
35,QC1-1VL,C1,COMMERCIAL,0.00180652540016597,2.07523073408975e-07
36,QC1-1VL,C1,COMMERCIAL,0.00192693980166555,2.31835124561593e-07
37,(Q)C1-1VL,C1,COMMERCIAL,0.000697952218594274,2.47396480153876e-08
38,(Q)C1-1VL,C1,COMMERCIAL,0.002705335364743,3.6861694276565e-07
39,(Q)C1-1VL-K,C1,COMMERCIAL,0.00220192251389353,2.14614336242735e-07
40,(Q)C1-1VLD,C1,COMMERCIAL,0.00352447452938206,7.73796793461552e-07
41,(Q)C1-1VLD,C1,COMMERCIAL,0.00353950911057102,6.94640185530808e-07
42,(Q)C1-1VLD,C1,COMMERCIAL,0.00304428470965752,5.72683060647649e-07
43,(Q)C1-1VLD,C1,COMMERCIAL,0.00980587673174669,4.30758031689591e-06
44,(Q)C1.5-1,C1.5,COMMERCIAL,0.00115070070595489,7.92031660693584e-08
45,(Q)C1.5-1,C1.5,COMMERCIAL,0.00507997140810419,9.17432630258966e-07
46,(Q)C1.5-1VL,C1.5,COMMERCIAL,0.00161059202088756,1.33934005971785e-07
47,(Q)C1.5-1VL,C1.5,COMMERCIAL,0.00170117434928431,1.75864974283895e-07
48,(Q)C1.5-1VLD,C1.5,COMMERCIAL,0.00276674671657984,4.65119069504801e-07
49,(Q)C2-1,C2,COMMERCIAL,0.00126760862863876,7.19756534747908e-08
50,(Q)C2-1,C2,COMMERCIAL,9.11441255881769e-05,4.51007835198494e-10
51,(Q)C2-1,C2,COMMERCIAL,0.00131591605715578,9.59283288774725e-08
52,(Q)C2-1,C2,COMMERCIAL,0.00147485774001926,1.26384488995897e-07
53,C2-2D-CPIO,C2,COMMERCIAL,0.00509193057344039,1.54947710996787e-06
54,(Q)C2-1,C2,COMMERCIAL,0.00611995372247365,1.65214084626588e-06
55,(Q)C2-1,C2,COMMERCIAL,0.00122397143955584,6.66371546505081e-08
56,(Q)C2-1,C2,COMMERCIAL,0.00152894796724709,1.35593668455653e-07
57,(Q)C2-1,C2,COMMERCIAL,0.00150861512840264,1.39608752234308e-07
